,client_id,district_id,birth_year,birth_day,birth_month,gender,age,disp_id,account_id,type_x,card_id,type_y,date_issue_card,days_issue_card,district_id_acc,freq_description,date_creation_acc,year_acc,month_acc,day_acc,days_creation_acc,loan_id,amount_loan,duration_loan,payments_loan,status_loan,status_description,date_loan,district_name,region,nbr_inhabitants,nbr_muni<499_inh,nbr_muni_500-1999_inh,nbr_muni_2000-9999_inh,nbr_muni>10000_inh,nbr_cities,ratio_urban_inh,average_salary,unemploymant_rate_95,unemploymant_rate_96,nbr_entp_1000_inh,nbr_crimes_95,nbr_crimes_96,trans_amt_total,trans_amt_min,trans_amt_max,trans_number,date_trans_old,days_oldtrans,date_trans_late,days_latetrans,date_balance,latest_balance,avg_balance,household_amount,insurance_amount,leasing_amount,loan_amount,nochar_amount,nbr_orders,order_total_amount
10,11,57,1950,22,8,F,49,11,8,DISPONENT,,,,,57,monthly,1995-09-21,1995,9,21,1198,,,,,,,,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.73,4.5,116,3729,3651,1712906.1000000008,14.6,40800.0,254,1995-09-21,1198,1998-12-31,1,1998-12-31,79254.9,46819.412992125974,2612.0,,,,6712.0,2.0,9324.0
11,12,40,1981,20,2,M,18,12,9,OWNER,,,,,70,monthly,1993-01-27,1993,1,27,2165,,,,,,,,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,696434.0999999994,5.4,45691.0,361,1993-01-27,2165,1998-12-31,1,1998-12-31,85444.3,26625.330470914167,,,,,,,
12,13,54,1974,29,5,F,25,13,10,OWNER,,,,,54,monthly,1996-08-28,1996,8,28,856,,,,,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,1040605.0999999996,12.2,26529.0,156,1996-08-28,856,1998-12-31,1,1998-12-31,83410.1,47792.1269230769,7033.0,,1344.0,,,2.0,8377.0
13,14,76,1942,22,6,F,57,14,11,OWNER,,,,,76,monthly,1995-10-10,1995,10,10,1179,,,,,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,258100.1000000001,10.2,6700.0,186,1995-10-10,1179,1998-12-31,1,1998-12-31,40388.5,27834.55,2132.0,,,,,1.0,2132.0
14,15,21,1918,28,8,F,81,15,12,OWNER,,,,,21,monthly,1997-04-15,1997,4,15,626,,,,,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,216751.30000000005,14.6,11000.0,106,1997-04-15,626,1998-12-31,1,1998-12-31,29053.0,20142.70188679244,3592.0,,,,,2.0,3592.0
15,16,21,1919,25,2,M,80,16,12,DISPONENT,,,,,21,monthly,1997-04-15,1997,4,15,626,,,,,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,216751.30000000005,14.6,11000.0,106,1997-04-15,626,1998-12-31,1,1998-12-31,29053.0,20142.70188679244,3592.0,,,,,2.0,3592.0
16,17,76,1934,13,10,M,65,17,13,OWNER,,,,,76,monthly,1997-08-17,1997,8,17,502,,,,,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,208214.0000000001,14.6,7500.0,75,1997-08-17,502,1998-12-31,1,1998-12-31,29750.6,15120.499999999995,2444.0,,,,,1.0,2444.0
17,18,76,1931,5,4,F,68,18,13,DISPONENT,,,,,76,monthly,1997-08-17,1997,8,17,502,,,,,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,208214.0000000001,14.6,7500.0,75,1997-08-17,502,1998-12-31,1,1998-12-31,29750.6,15120.499999999995,2444.0,,,,,1.0,2444.0
18,19,47,1942,28,12,M,57,19,14,OWNER,2.0,classic,1998-03-13,294.0,47,monthly,1996-11-27,1996,11,27,765,,,,,,,,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,785857.9999999994,14.6,22137.0,124,1996-11-27,765,1998-12-31,1,1998-12-31,59453.0,39603.633064516136,3629.0,,,,,1.0,3629.0
19,20,46,1979,4,1,M,20,20,15,OWNER,,,,,70,monthly,1993-10-02,1993,10,2,1917,,,,,,,,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.79,2.31,117,2854,2618,2329572.9000000022,14.6,46720.0,365,1993-10-02,1917,1998-12-31,1,1998-12-31,66670.5,38645.22876712329,3072.0,,,,,1.0,3072.0
20,21,12,1952,29,10,F,47,21,16,OWNER,,,,,12,monthly,1997-09-23,1997,9,23,465,,,,,,,,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.83,4.31,137,3804,3868,661403.8999999998,14.6,31262.0,60,1997-09-23,465,1998-12-31,1,1998-12-31,60273.6,29600.768333333323,,,,,,,
21,22,1,1969,11,10,F,30,22,17,OWNER,,,,,1,monthly,1997-01-08,1997,1,8,723,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,413049.2,14.6,49483.0,54,1997-01-08,723,1998-12-31,1,1998-12-31,100814.6,50791.59629629632,4032.0,,,,,1.0,4032.0
22,23,1,1973,29,5,M,26,23,17,DISPONENT,,,,,1,monthly,1997-01-08,1997,1,8,723,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,413049.2,14.6,49483.0,54,1997-01-08,723,1998-12-31,1,1998-12-31,100814.6,50791.59629629632,4032.0,,,,,1.0,4032.0
23,24,43,1939,29,7,F,60,24,18,OWNER,,,,,43,instantly,1993-05-26,1993,5,26,2046,,,,,,,,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,3728698.3,30.0,70200.0,328,1993-05-26,2046,1998-12-31,1,1998-12-31,155603.3,52267.42347560981,,,,,,,
24,25,21,1939,23,4,F,60,25,19,OWNER,,,,,21,monthly,1995-04-07,1995,4,7,1365,4961.0,30276.0,12.0,2523.0,B,finished/not payed,1996-04-29,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,1575515.9,0.9,22708.0,303,1995-04-07,1365,1998-12-31,1,1998-12-31,58157.5,16253.069966996678,,,,2523.2,,1.0,2523.2
25,26,74,1969,20,4,F,30,26,20,OWNER,,,,,74,monthly,1996-08-24,1996,8,24,860,,,,,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,154748.1000000001,14.6,4950.0,116,1996-08-24,860,1998-12-31,1,1998-12-31,20457.6,15604.086206896545,2003.0,,,,,1.0,2003.0
26,27,54,1966,26,3,F,33,27,21,OWNER,,,,,54,monthly,1997-12-06,1997,12,6,391,,,,,,,,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,298432.3,14.6,28000.0,62,1997-12-06,391,1998-12-31,1,1998-12-31,61684.5,35286.20967741936,6276.0,,,,,1.0,6276.0
27,28,1,1945,29,9,M,54,28,22,OWNER,,,,,1,monthly,1994-03-23,1994,3,23,1745,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,2099466.500000002,14.6,27600.0,310,1994-03-23,1745,1998-12-31,1,1998-12-31,68159.8,40694.42645161284,6352.0,,,,,1.0,6352.0
28,29,30,1951,11,9,F,48,29,23,OWNER,,,,,30,monthly,1993-05-22,1993,5,22,2050,,,,,,,,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,3195860.0000000033,14.6,40480.0,370,1993-05-22,2050,1998-12-31,1,1998-12-31,95298.7,52316.11729729735,5807.0,,,,,1.0,5807.0
29,30,74,1957,9,10,F,42,30,24,OWNER,,,,,74,monthly,1996-12-05,1996,12,5,757,,,,,,,,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,688130.5999999999,14.6,26800.0,140,1996-12-05,757,1998-12-31,1,1998-12-31,49091.2,27687.50214285717,221.0,,,,7641.0,2.0,7862.0
30,31,68,1962,9,2,M,37,31,25,OWNER,,,,,68,monthly,1996-07-28,1996,7,28,887,4962.0,30276.0,12.0,2523.0,A,finished/ok,1997-12-08,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,2958545.100000004,14.6,63300.0,274,1996-07-28,887,1998-12-31,1,1998-12-31,134209.9,56279.1284671533,6817.0,164.0,,2523.2,1110.0,4.0,10614.2
31,32,52,1980,28,7,M,19,32,26,OWNER,,,,,52,monthly,1993-08-08,1993,8,8,1972,,,,,,,,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,3471037.400000004,14.6,37203.0,351,1993-08-08,1972,1998-12-31,1,1998-12-31,83469.3,32862.65954415958,10387.0,,,,,1.0,10387.0
32,33,73,1948,4,12,F,51,33,27,OWNER,,,,,73,monthly,1993-09-26,1993,9,26,1923,,,,,,,,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,1204954.1000000003,14.4,12940.0,352,1993-09-26,1923,1998-12-31,1,1998-12-31,40464.1,22750.368465909105,4054.0,,,,,1.0,4054.0
33,36,7,1978,17,7,F,21,36,29,OWNER,,,,,7,monthly,1994-11-24,1994,11,24,1499,,,,,,,,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,1885934.7000000016,8.0,26667.0,367,1994-11-24,1499,1998-12-31,1,1998-12-31,59950.3,32130.321525885527,6871.0,8.0,,,829.0,3.0,7708.0
34,37,7,1970,10,8,M,29,37,29,DISPONENT,,,,,7,monthly,1994-11-24,1994,11,24,1499,,,,,,,,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,1885934.7000000016,8.0,26667.0,367,1994-11-24,1499,1998-12-31,1,1998-12-31,59950.3,32130.321525885527,6871.0,8.0,,,829.0,3.0,7708.0
35,38,36,1973,23,7,F,26,38,30,OWNER,,,,,36,monthly,1995-03-04,1995,3,4,1399,,,,,,,,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,4561803.200000001,3.9,75600.0,281,1995-03-04,1399,1998-12-30,2,1998-12-30,149154.0,56750.19217081853,,,2480.2,,,1.0,2480.2
36,39,68,1968,25,1,M,31,39,31,OWNER,,,,,68,monthly,1994-04-27,1994,4,27,1710,,,,,,,,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,5807677.499999994,14.6,61700.0,383,1994-04-27,1710,1998-11-30,32,1998-11-30,137130.5,57445.495039164474,10202.0,,,,,1.0,10202.0
37,40,5,1957,22,1,F,42,40,32,OWNER,,,,,5,monthly,1995-08-28,1995,8,28,1222,,,,,,,,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,1378941.7000000007,12.5,24822.0,180,1995-08-28,1222,1998-12-31,1,1998-12-31,90565.0,55656.91611111108,,,,,,,
38,41,22,1968,27,8,M,31,41,33,OWNER,3.0,gold,1995-09-03,1216.0,22,monthly,1993-08-26,1993,8,26,1954,,,,,,,,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,3231984.800000003,14.6,63100.0,344,1993-08-26,1954,1998-12-31,1,1998-12-31,123696.3,72337.54040697675,3892.0,,,,,1.0,3892.0
39,42,68,1935,17,8,M,64,42,34,OWNER,4.0,classic,1998-11-26,36.0,67,instantly,1993-09-17,1993,9,17,1932,,,,,,,,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,4342630.499999997,30.0,47768.0,409,1993-09-17,1932,1998-12-31,1,1998-12-31,94579.7,53975.8193154034,502.0,,1479.0,,6070.0,3.0,8051.0
40,43,75,1920,28,10,M,79,43,35,OWNER,,,,,75,monthly,1993-07-07,1993,7,7,2004,,,,,,,,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,697962.0999999989,14.6,14950.0,379,1993-07-07,2004,1998-12-31,1,1998-12-31,32520.4,19932.312401055417,2384.0,,,,,2.0,2384.0
41,44,38,1977,11,1,F,22,44,36,OWNER,,,,,1,monthly,1993-07-01,1993,7,1,2010,,,,,,,,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,2793004.200000004,14.6,41120.0,388,1993-07-01,2010,1998-12-31,1,1998-12-31,85054.7,44958.03376288661,4069.0,,,,,1.0,4069.0
42,45,20,1952,26,8,M,47,45,37,OWNER,,,,,20,monthly,1997-08-18,1997,8,18,501,4967.0,318480.0,60.0,5308.0,D,running/not payed,1998-10-14,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,948153.8999999999,0.4,49437.0,130,1997-08-18,501,1998-12-31,1,1998-12-31,104761.5,37547.42230769224,2317.0,97.0,,5307.5,2584.0,4.0,10305.5
43,46,19,1940,30,1,F,59,46,38,OWNER,,,,,19,instantly,1997-08-08,1997,8,8,511,4968.0,110736.0,48.0,2307.0,C,running/ok,1998-04-19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,571949.7000000001,30.0,20762.0,130,1997-08-08,511,1998-12-31,1,1998-12-31,55991.1,34462.22846153847,6901.0,228.0,,2306.8,231.0,4.0,9666.8
44,47,76,1934,14,7,M,65,47,39,OWNER,,,,,36,monthly,1993-09-22,1993,9,22,1927,,,,,,,,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,813539.4999999991,14.6,7300.0,399,1993-09-22,1927,1998-12-31,1,1998-12-31,36322.3,24918.13934837092,3115.0,,,,,2.0,3115.0
45,48,16,1940,9,2,M,59,48,40,OWNER,,,,,64,monthly,1993-10-25,1993,10,25,1894,,,,,,,,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,906112.8999999987,14.6,13000.0,366,1993-10-25,1894,1998-12-31,1,1998-12-31,41560.0,23698.230601092877,33.0,,,,4301.0,2.0,4334.0
46,49,72,1959,11,5,F,40,49,41,OWNER,,,,,72,monthly,1997-08-02,1997,8,2,517,,,,,,,,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,555118.1,14.6,25938.0,71,1997-08-02,517,1998-12-31,1,1998-12-31,100992.3,58751.75774647888,,,,,,,
47,50,39,1978,30,7,F,21,50,42,OWNER,,,,,39,monthly,1996-08-16,1996,8,16,868,,,,,,,,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,594993.9999999998,14.6,13659.0,198,1996-08-16,868,1998-12-31,1,1998-12-31,45322.3,29084.17323232325,4239.0,1592.0,,,239.0,3.0,6070.0
48,51,36,1979,2,12,F,20,51,43,OWNER,5.0,junior,1995-04-24,1348.0,36,monthly,1994-06-12,1994,6,12,1664,,,,,,,,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,2841686.7000000025,14.6,38560.0,321,1994-06-12,1664,1998-12-31,1,1998-12-31,99571.8,60897.162305295955,6589.0,,,,,1.0,6589.0
49,52,32,1924,12,12,M,75,52,44,OWNER,,,,,32,monthly,1993-05-10,1993,5,10,2062,,,,,,,,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,549417.3999999992,14.6,11350.0,316,1993-05-10,2062,1998-12-31,1,1998-12-31,29481.8,19124.711392405057,2344.0,,,,,1.0,2344.0
50,53,64,1977,5,5,M,22,53,45,OWNER,,,,,64,monthly,1997-09-02,1997,9,2,486,,,,,,,,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,133399.90000000002,4.5,25455.0,69,1997-09-02,486,1998-12-31,1,1998-12-31,52969.7,27239.694202898558,,,,,,,
51,55,45,1948,18,9,F,51,55,47,OWNER,,,,,45,monthly,1993-08-08,1993,8,8,1972,,,,,,,,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,4933893.3999999985,9.0,63300.0,565,1993-08-08,1972,1998-12-31,1,1998-12-31,108508.9,45139.10991150457,6940.0,141.0,,,183.0,4.0,7264.0
52,56,21,1960,31,3,M,39,56,48,OWNER,7.0,classic,1998-06-11,204.0,21,monthly,1996-11-17,1996,11,17,775,,,,,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,1197219.6999999997,14.6,34221.0,151,1996-11-17,775,1998-12-31,1,1998-12-31,72802.5,49740.438410596034,6268.0,,,,1029.0,2.0,7297.0
53,57,21,1961,17,12,F,38,57,48,DISPONENT,,,,,21,monthly,1996-11-17,1996,11,17,775,,,,,,,,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,1197219.6999999997,14.6,34221.0,151,1996-11-17,775,1998-12-31,1,1998-12-31,72802.5,49740.438410596034,6268.0,,,,1029.0,2.0,7297.0
54,58,1,1927,29,4,F,72,58,49,OWNER,,,,,1,monthly,1997-04-06,1997,4,6,635,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,183161.80000000005,13.1,4654.0,93,1997-04-06,635,1998-12-31,1,1998-12-31,24003.5,15599.062365591395,3102.0,,,,,1.0,3102.0
55,59,1,1957,18,2,M,42,59,50,OWNER,,,,,1,monthly,1994-05-06,1994,5,6,1701,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1916904.2000000018,14.6,24195.0,377,1994-05-06,1701,1998-12-31,1,1998-12-31,90088.0,37433.39124668432,269.0,,,,7024.0,2.0,7293.0
56,60,67,1980,19,2,M,19,60,51,OWNER,8.0,junior,1998-05-20,226.0,67,monthly,1996-05-11,1996,5,11,965,,,,,,,,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,1322341.9,14.6,30950.0,192,1996-05-11,965,1998-12-31,1,1998-12-31,106203.4,59944.55625000012,2074.0,,,,2057.0,2.0,4131.0
57,61,16,1948,6,8,F,51,61,52,OWNER,,,,,16,monthly,1997-01-29,1997,1,29,702,,,,,,,,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,1264703.3999999997,3.9,42300.0,144,1997-01-29,702,1998-12-31,1,1998-12-31,83077.2,39730.835416666676,560.0,,,,3723.0,2.0,4283.0
58,62,77,1932,8,12,M,67,62,53,OWNER,,,,,77,monthly,1995-06-07,1995,6,7,1304,,,,,,,,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,360117.7999999998,14.5,4277.0,197,1995-06-07,1304,1998-12-31,1,1998-12-31,27518.7,18613.801522842637,2851.0,,,,,1.0,2851.0
59,63,4,1959,4,6,M,40,63,54,OWNER,,,,,4,monthly,1995-05-02,1995,5,2,1340,,,,,,,,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,282774.60000000003,11.9,8070.0,210,1995-05-02,1340,1998-12-31,1,1998-12-31,29756.0,18798.170952380973,2280.0,,,,,1.0,2280.0
60,64,20,1926,22,4,M,73,64,55,OWNER,,,,,20,monthly,1996-02-19,1996,2,19,1047,,,,,,,,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,298743.1,14.6,4629.0,150,1996-02-19,1047,1998-12-31,1,1998-12-31,23445.0,16824.924666666666,3086.0,,,,,1.0,3086.0
61,65,50,1943,27,5,F,56,65,56,OWNER,,,,,50,monthly,1994-05-16,1994,5,16,1691,,,,,,,,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,1761908.4000000013,14.6,29600.0,293,1994-05-16,1691,1998-12-31,1,1998-12-31,78756.8,34957.85904436858,8080.0,,,,,1.0,8080.0
62,66,1,1951,10,11,F,48,66,57,OWNER,,,,,1,monthly,1995-05-21,1995,5,21,1321,,,,,,,,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1955860.5000000014,14.6,31962.0,255,1995-05-21,1321,1998-12-31,1,1998-12-31,77725.9,43838.77686274508,4107.0,,,,,1.0,4107.0
63,67,29,1932,11,11,F,67,67,58,OWNER,,,,,29,monthly,1996-08-23,1996,8,23,861,,,,,,,,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,317481.50000000006,0.5,14250.0,137,1996-08-23,861,1998-12-31,1,1998-12-31,28954.2,12628.816058394163,,,,,,,
64,68,43,1946,14,12,M,53,68,59,OWNER,,,,,43,monthly,1994-03-27,1994,3,27,1741,,,,,,,,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.72,2.5,125,4085,3891,1802380.3000000021,14.6,22880.0,385,1994-03-27,1741,1998-12-31,1,1998-12-31,89719.7,45484.691688311665,695.0,,,,6190.0,2.0,6885.0
65,70,70,1925,22,12,M,74,70,61,OWNER,,,,,70,monthly,1993-12-11,1993,12,11,1847,,,,,,,,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,474569.39999999956,14.6,5850.0,339,1993-12-11,1847,1998-12-31,1,1998-12-31,31764.7,19932.28318584071,2313.0,,,,,2.0,2313.0
66,71,70,1927,6,2,F,72,71,61,DISPONENT,,,,,70,monthly,1993-12-11,1993,12,11,1847,,,,,,,,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.63,7.75,81,9878,10108,474569.39999999956,14.6,5850.0,339,1993-12-11,1847,1998-12-31,1,1998-12-31,31764.7,19932.28318584071,2313.0,,,,,2.0,2313.0
67,72,47,1923,13,1,M,76,72,62,OWNER,,,,,47,monthly,1993-03-28,1993,3,28,2105,,,,,,,,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.51,1.81,111,6079,5410,698825.4999999995,14.6,7600.0,356,1993-03-28,2105,1998-12-31,1,1998-12-31,36365.9,23603.571629213493,2273.0,,,,,1.0,2273.0
68,73,22,1924,20,2,M,75,73,63,OWNER,,,,,22,monthly,1996-11-16,1996,11,16,776,,,,,,,,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,224733.00000000006,14.6,11650.0,129,1996-11-16,776,1998-12-31,1,1998-12-31,37302.6,26384.806201550386,2394.0,,,,,2.0,2394.0
